service_id,hospital_id,hospital_name,service_name,description,category,price,duration_minutes,requires_appointment,available_24x7,insurance_covered
SVC00001,HOSP001,Manipal Hospital,ECG,12-lead electrocardiogram,Diagnostic,290,120,True,False,False
SVC00002,HOSP001,Manipal Hospital,Vaccination,Immunization services,Preventive,1972,45,True,False,False
SVC00003,HOSP001,Manipal Hospital,X-Ray,Digital radiography,Imaging,751,15,True,False,True
SVC00004,HOSP001,Manipal Hospital,Dialysis,Hemodialysis session,Procedure,4635,120,True,False,True
SVC00005,HOSP001,Manipal Hospital,Health Checkup - Comprehensive,Full body checkup,Package,6374,30,True,False,False
SVC00006,HOSP001,Manipal Hospital,Blood Test - CBC,Complete blood count,Lab,340,30,False,False,True
SVC00007,HOSP001,Manipal Hospital,Surgical Procedure,Minor/major surgical intervention,Surgery,93235,60,True,False,True
SVC00008,HOSP001,Manipal Hospital,OPD Consultation,Outpatient consultation with specialist,Consultation,301,90,False,False,False
SVC00009,HOSP001,Manipal Hospital,Blood Test - LFT,Liver function test,Lab,941,90,False,False,False
SVC00010,HOSP001,Manipal Hospital,Blood Test - KFT,Kidney function test,Lab,818,60,True,False,False
SVC00011,HOSP002,Fortis Hospital,Ultrasound,Abdominal/pelvic ultrasound,Imaging,2232,15,True,False,True
SVC00012,HOSP002,Fortis Hospital,Dialysis,Hemodialysis session,Procedure,2550,45,True,False,True
SVC00013,HOSP002,Fortis Hospital,Vaccination,Immunization services,Preventive,814,30,True,False,True
SVC00014,HOSP002,Fortis Hospital,Emergency Services,24/7 emergency care,Emergency,0,60,True,True,True
SVC00015,HOSP002,Fortis Hospital,General Ward (per day),General ward admission,Inpatient,4123,15,True,False,False
SVC00016,HOSP002,Fortis Hospital,X-Ray,Digital radiography,Imaging,518,15,True,False,False
SVC00017,HOSP002,Fortis Hospital,Blood Test - KFT,Kidney function test,Lab,853,120,True,False,False
SVC00018,HOSP002,Fortis Hospital,ECG,12-lead electrocardiogram,Diagnostic,354,120,True,False,True
SVC00019,HOSP002,Fortis Hospital,Physiotherapy,Physical therapy session,Therapy,1062,120,True,False,True
SVC00020,HOSP002,Fortis Hospital,MRI Scan,Magnetic resonance imaging,Imaging,11247,45,False,False,False
SVC00021,HOSP002,Fortis Hospital,OPD Consultation,Outpatient consultation with specialist,Consultation,773,60,True,False,True
SVC00022,HOSP002,Fortis Hospital,2D Echo,Echocardiography,Cardiac,2788,90,True,False,False
SVC00023,HOSP002,Fortis Hospital,Blood Test - LFT,Liver function test,Lab,719,15,True,False,False
SVC00024,HOSP002,Fortis Hospital,Surgical Procedure,Minor/major surgical intervention,Surgery,146070,60,True,False,True
