contact_id,hospital_id,hospital_name,contact_type,name,phone,email,available_hours,is_primary
CON00001,HOSP001,Manipal Hospital,Ambulance,Ambulance,+91-80-54044755,ambulance@manipalhospital.com,24/7,False
CON00002,HOSP001,Manipal Hospital,Blood Bank,Blood Bank,+91-80-54538892,blood.bank@manipalhospital.com,Mon-Sat 8AM-8PM,False
CON00003,HOSP001,Manipal Hospital,Emergency,Emergency,+91-80-94052081,emergency@manipalhospital.com,24/7,False
CON00004,HOSP001,Manipal Hospital,Appointment Desk,Appointment Desk,+91-80-52798966,appointment.desk@manipalhospital.com,Mon-Sat 8AM-8PM,False
CON00005,HOSP001,Manipal Hospital,Pharmacy,Pharmacy,+91-80-40747277,pharmacy@manipalhospital.com,Mon-Sat 8AM-8PM,False
CON00006,HOSP001,Manipal Hospital,Reception,Reception,+91-80-92167808,reception@manipalhospital.com,Mon-Sat 8AM-8PM,True
CON00007,HOSP002,Fortis Hospital,Ambulance,Ambulance,+91-80-30831551,ambulance@fortishospital.com,24/7,False
CON00008,HOSP002,Fortis Hospital,Billing,Billing,+91-80-31261756,billing@fortishospital.com,Mon-Sat 8AM-8PM,False
CON00009,HOSP002,Fortis Hospital,Emergency,Emergency,+91-80-62604258,emergency@fortishospital.com,24/7,False
CON00010,HOSP002,Fortis Hospital,Pharmacy,Pharmacy,+91-80-34614440,pharmacy@fortishospital.com,Mon-Sat 8AM-8PM,False
CON00011,HOSP002,Fortis Hospital,Appointment Desk,Appointment Desk,+91-80-44467490,appointment.desk@fortishospital.com,Mon-Sat 8AM-8PM,False
CON00012,HOSP002,Fortis Hospital,Blood Bank,Blood Bank,+91-80-23733408,blood.bank@fortishospital.com,Mon-Sat 8AM-8PM,False
CON00013,HOSP002,Fortis Hospital,Reception,Reception,+91-80-37991540,reception@fortishospital.com,Mon-Sat 8AM-8PM,True
CON00014,HOSP003,Apollo Hospitals,Emergency,Emergency,+91-80-70671702,emergency@apollohospitals.com,24/7,False
CON00015,HOSP003,Apollo Hospitals,Blood Bank,Blood Bank,+91-80-41952715,blood.bank@apollohospitals.com,Mon-Sat 8AM-8PM,False
CON00016,HOSP003,Apollo Hospitals,Billing,Billing,+91-80-76695965,billing@apollohospitals.com,Mon-Sat 8AM-8PM,False
CON00017,HOSP003,Apollo Hospitals,Reception,Reception,+91-80-44586898,reception@apollohospitals.com,Mon-Sat 8AM-8PM,True
CON00018,HOSP003,Apollo Hospitals,Pharmacy,Pharmacy,+91-80-23381325,pharmacy@apollohospitals.com,Mon-Sat 8AM-8PM,False
CON00019,HOSP003,Apollo Hospitals,Ambulance,Ambulance,+91-80-91598602,ambulance@apollohospitals.com,24/7,False
CON00020,HOSP004,Narayana Health,Appointment Desk,Appointment Desk,+91-80-68723935,appointment.desk@narayanahealth.com,Mon-Sat 8AM-8PM,False
CON00021,HOSP004,Narayana Health,Pharmacy,Pharmacy,+91-80-49436909,pharmacy@narayanahealth.com,Mon-Sat 8AM-8PM,False
CON00022,HOSP004,Narayana Health,Billing,Billing,+91-80-97471484,billing@narayanahealth.com,Mon-Sat 8AM-8PM,False
