dept_id,hospital_id,hospital_name,department_name,description,floor,block,head_doctor,contact_ext,opd_timings,beds_allocated,is_active
DEPT0001,HOSP001,Manipal Hospital,Emergency Medicine,24/7 emergency & trauma care,1,C,Dr. Meena Kumar,460,Mon-Sat 9:00 AM – 5:00 PM,11,True
DEPT0002,HOSP001,Manipal Hospital,Ophthalmology,Eye care & surgery,2,C,Dr. Meena Rao,545,Mon-Sat 9:00 AM – 5:00 PM,70,True
DEPT0003,HOSP001,Manipal Hospital,Psychiatry,Mental health & behavioral care,1,B,Dr. Ravi Iyer,572,Mon-Sat 9:00 AM – 5:00 PM,76,True
DEPT0004,HOSP001,Manipal Hospital,Urology,Urinary tract & kidney care,5,D,Dr. Anita Nair,217,Mon-Sat 9:00 AM – 5:00 PM,69,True
DEPT0005,HOSP001,Manipal Hospital,Anesthesiology,Surgical anesthesia & pain management,1,A,Dr. Arun Patel,652,Mon-Sat 9:00 AM – 5:00 PM,54,True
DEPT0006,HOSP001,Manipal Hospital,Pulmonology,Lung & respiratory care,3,A,Dr. Rajesh Singh,700,Mon-Sat 9:00 AM – 5:00 PM,14,True
DEPT0007,HOSP001,Manipal Hospital,Cardiology,Heart & cardiovascular care,3,A,Dr. Suresh Iyer,713,Mon-Sat 9:00 AM – 5:00 PM,57,True
DEPT0008,HOSP001,Manipal Hospital,Oncology,Cancer diagnosis & treatment,3,A,Dr. Anita Singh,191,Mon-Sat 9:00 AM – 5:00 PM,53,True
DEPT0009,HOSP001,Manipal Hospital,Neurology,Brain & nervous system disorders,3,A,Dr. Rajesh Patel,226,Mon-Sat 9:00 AM – 5:00 PM,56,True
DEPT0010,HOSP002,Fortis Hospital,Emergency Medicine,24/7 emergency & trauma care,2,D,Dr. Anita Kumar,901,Mon-Sat 9:00 AM – 5:00 PM,47,True
DEPT0011,HOSP002,Fortis Hospital,Oncology,Cancer diagnosis & treatment,2,A,Dr. Rajesh Singh,834,Mon-Sat 9:00 AM – 5:00 PM,11,True
DEPT0012,HOSP002,Fortis Hospital,Gastroenterology,Digestive system disorders,6,A,Dr. Ravi Iyer,733,Mon-Sat 9:00 AM – 5:00 PM,27,True
DEPT0013,HOSP002,Fortis Hospital,Anesthesiology,Surgical anesthesia & pain management,6,D,Dr. Suresh Iyer,467,Mon-Sat 9:00 AM – 5:00 PM,48,True
DEPT0014,HOSP002,Fortis Hospital,Radiology,Imaging & diagnostics,2,D,Dr. Arun Reddy,199,Mon-Sat 9:00 AM – 5:00 PM,37,True
DEPT0015,HOSP002,Fortis Hospital,Cardiology,Heart & cardiovascular care,4,A,Dr. Anita Kumar,160,Mon-Sat 9:00 AM – 5:00 PM,42,True
DEPT0016,HOSP002,Fortis Hospital,Dermatology,"Skin, hair & nail care",5,A,Dr. Rajesh Rao,268,Mon-Sat 9:00 AM – 5:00 PM,61,True
DEPT0017,HOSP002,Fortis Hospital,Pediatrics,Child health & development,1,B,Dr. Suresh Reddy,525,Mon-Sat 9:00 AM – 5:00 PM,75,True
DEPT0018,HOSP002,Fortis Hospital,Rheumatology,Arthritis & autoimmune care,3,D,Dr. Suresh Iyer,306,Mon-Sat 9:00 AM – 5:00 PM,73,True
DEPT0019,HOSP002,Fortis Hospital,Pulmonology,Lung & respiratory care,3,B,Dr. Rajesh Rao,881,Mon-Sat 9:00 AM – 5:00 PM,13,True
DEPT0020,HOSP002,Fortis Hospital,Neurology,Brain & nervous system disorders,5,C,Dr. Anita Singh,193,Mon-Sat 9:00 AM – 5:00 PM,23,True
DEPT0021,HOSP002,Fortis Hospital,Endocrinology,Hormonal & metabolic disorders,6,B,Dr. Meena Reddy,930,Mon-Sat 9:00 AM – 5:00 PM,50,True
DEPT0022,HOSP003,Apollo Hospitals,Gastroenterology,Digestive system disorders,2,B,Dr. Suresh Nair,511,Mon-Sat 9:00 AM – 5:00 PM,80,True
DEPT0023,HOSP003,Apollo Hospitals,Endocrinology,Hormonal & metabolic disorders,4,D,Dr. Arun Kumar,213,Mon-Sat 9:00 AM – 5:00 PM,58,True
DEPT0024,HOSP003,Apollo Hospitals,Emergency Medicine,24/7 emergency & trauma care,3,B,Dr. Suresh Reddy,830,Mon-Sat 9:00 AM – 5:00 PM,49,True
DEPT0025,HOSP003,Apollo Hospitals,Pulmonology,Lung & respiratory care,6,C,Dr. Kavita Sharma,248,Mon-Sat 9:00 AM – 5:00 PM,42,True
DEPT0026,HOSP003,Apollo Hospitals,Plastic Surgery,Reconstructive & cosmetic surgery,2,B,Dr. Kavita Iyer,362,Mon-Sat 9:00 AM – 5:00 PM,47,True
DEPT0027,HOSP003,Apollo Hospitals,Ophthalmology,Eye care & surgery,6,C,Dr. Priya Iyer,472,Mon-Sat 9:00 AM – 5:00 PM,13,True
DEPT0028,HOSP003,Apollo Hospitals,Anesthesiology,Surgical anesthesia & pain management,1,D,Dr. Ravi Patel,212,Mon-Sat 9:00 AM – 5:00 PM,79,True
DEPT0029,HOSP003,Apollo Hospitals,Psychiatry,Mental health & behavioral care,6,A,Dr. Kavita Reddy,550,Mon-Sat 9:00 AM – 5:00 PM,63,True
DEPT0030,HOSP003,Apollo Hospitals,Radiology,Imaging & diagnostics,1,B,Dr. Anita Patel,310,Mon-Sat 9:00 AM – 5:00 PM,78,True
DEPT0031,HOSP004,Narayana Health,Neurology,Brain & nervous system disorders,6,A,Dr. Arun Nair,234,Mon-Sat 9:00 AM – 5:00 PM,61,True
