embedding_id,source_type,source_id,text_chunk,chunk_index,token_count,model,vector_dim,created_at
EMB000001,hospital,HOSP001,"Manipal Hospital located at 46, Jayanagar, Bengaluru. Multi-Specialty hospital with 270 beds. Accreditation: NABH. Rating: 4.5.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000002,hospital,HOSP002,"Fortis Hospital located at 16, Hebbal, Bengaluru. Multi-Specialty hospital with 1067 beds. Accreditation: NABL,NABH. Rating: 4.4.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000003,hospital,HOSP003,"Apollo Hospitals located at 59, Hebbal, Bengaluru. General hospital with 637 beds. Accreditation: None. Rating: 4.1.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000004,hospital,HOSP004,"Narayana Health located at 42, Koramangala, Bengaluru. Super-Specialty hospital with 489 beds. Accreditation: JCI. Rating: 4.6.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000005,hospital,HOSP005,"Columbia Asia Hospital located at 65, MG Road, Bengaluru. General hospital with 1330 beds. Accreditation: NABH. Rating: 5.0.",0,18,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000006,hospital,HOSP006,"BGS Gleneagles located at 70, Whitefield, Bengaluru. General hospital with 1228 beds. Accreditation: None. Rating: 4.5.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000007,hospital,HOSP007,"Sakra World Hospital located at 10, Hebbal, Bengaluru. General hospital with 1335 beds. Accreditation: JCI. Rating: 4.0.",0,17,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000008,hospital,HOSP008,"Aster CMI Hospital located at 46, Whitefield, Bengaluru. Maternity hospital with 1173 beds. Accreditation: NABL,NABH. Rating: 4.4.",0,17,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000009,hospital,HOSP009,"St. John's Hospital located at 40, Whitefield, Bengaluru. Multi-Specialty hospital with 781 beds. Accreditation: NABH. Rating: 4.8.",0,17,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000010,hospital,HOSP010,"NIMHANS located at 46, MG Road, Bengaluru. Children hospital with 620 beds. Accreditation: JCI. Rating: 4.7.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000011,hospital,HOSP011,"Victoria Hospital located at 24, Indiranagar, Bengaluru. Super-Specialty hospital with 794 beds. Accreditation: None. Rating: 4.2.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000012,hospital,HOSP012,"Bowring & Lady Curzon Hospital located at 34, Indiranagar, Bengaluru. Multi-Specialty hospital with 1149 beds. Accreditation: None. Rating: 4.7.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000013,hospital,HOSP013,"Sparsh Hospital located at 20, Indiranagar, Bengaluru. Multi-Specialty hospital with 523 beds. Accreditation: NABL,NABH. Rating: 3.7.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000014,hospital,HOSP014,"Cloudnine Hospital located at 15, Whitefield, Bengaluru. Super-Specialty hospital with 1058 beds. Accreditation: NABL,NABH. Rating: 4.6.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000015,hospital,HOSP015,"Motherhood Hospital located at 66, Yeshwanthpur, Bengaluru. General hospital with 234 beds. Accreditation: NABH. Rating: 3.9.",0,16,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000016,doctor,DOC00001,"Dr. Dr. Pooja Patel, Emergency Medicine Specialist at Emergency Medicine. Qualification: MBBS, MCh. Experience: 26 years. Consultation fee: ₹700. Available: Tue,Thu,Sat.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000017,doctor,DOC00002,"Dr. Dr. Suresh Rao, Consultant Emergency Medicine at Emergency Medicine. Qualification: MBBS, DM. Experience: 29 years. Consultation fee: ₹1500. Available: Mon,Wed,Fri.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000018,doctor,DOC00003,"Dr. Dr. Ravi Verma, Emergency Medicine Specialist at Emergency Medicine. Qualification: MBBS, DM. Experience: 24 years. Consultation fee: ₹700. Available: Tue,Thu,Sat.",0,21,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000019,doctor,DOC00004,"Dr. Dr. Nisha Joshi, Ophthalmology Specialist at Ophthalmology. Qualification: MBBS, MCh. Experience: 29 years. Consultation fee: ₹1000. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000020,doctor,DOC00005,"Dr. Dr. Arun Hegde, Ophthalmology Specialist at Ophthalmology. Qualification: MBBS, DM. Experience: 6 years. Consultation fee: ₹500. Available: Tue,Thu,Sat.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
EMB000021,doctor,DOC00006,"Dr. Dr. Deepa Bhat, Ophthalmology Specialist at Ophthalmology. Qualification: MBBS, MS. Experience: 17 years. Consultation fee: ₹700. Available: Mon-Fri.",0,19,text-embedding-3-small,1536,2026-06-26 21:06:37
